Count;Designators;Device;Value;Package;Description
4;C1, C2, C3, C4;Elko 22/10mm;LGW2E471MELZ40 470μF/250V;Elko 22/10mm;Elko 22/10mm LGW2E471MELZ40 470μF/250V
2;C10, C11;MKS4F044706B00KSSD;MKS4F044706B00KSSD 4.7μF/250V;Capacitor 11x21x31.5 PCM 27.5 Red;MKS4F044706B00KSSD 4.7μF/250V
1;C12;C-0603;2.2nF;C-0603;C-0603 2.2nF
3;C13, C14, C22;C-0603;1μF;C-0603;C-0603 1μF
1;C15;C-1210;2.2μF 100V;C-1210;C-1210 2.2μF 100V
1;C16;C-0603;56pF;C-0603;C-0603 56pF
5;C17, C18, C7, C8, C9;C-0603;220nF;C-0603;C-0603 220nF
6;C19, C23, C28, C31, C32, C33;C-0603;100nF;C-0603;C-0603 100nF
1;C20;C-0805;10μF;C-0805;C-0805 10μF
2;C21, C5;C-0603;10nF;C-0603;C-0603 10nF
2;C24, C25;C-1812;47nF 250V;C-1812;C-1812 47nF 250V
1;C26;C-1210;22μF 25V;C-1210;C-1210 22μF 25V
1;C27;C-0603;3.3nF;C-0603;C-0603 3.3nF
1;C29;C-0805;dnm;C-0805;C-0805 dnm
2;C30, C6;C-0805;2.2μF 25V;C-0805;C-0805 2.2μF 25V
1;D1;MBR40250G;MBR40250G;TO220-2;MBR40250G
1;D2;P600;P600 150V;P600;P600 150V
1;D3;P600;P600 35V;P600;P600 35V
1;D4;BAS21;BAS21;SOT23-3;BAS21
2;F1, F2;Fuse Holder 5mm;4AT;Fuse Holder 5mm;Fuse Holder 5mm 4AT
1;J1;PTR STLZ950/2G-5.08-H-GREEN;Generator;PTR STLZ950/2G-5.08-H-GREEN;PTR STLZ950/2G-5.08-H-GREEN Generator
9;J10, J11, J12, J13, J5, J6, J7, J8, J9;Generic Pin Header 2.54mm 1x1 ⌀1.0mm;;Pin Header 2.54mm 1x1 ⌀1.0mm;Generic Pin Header 2.54mm 1x1 ⌀1.0mm 
1;J2;PTR STLZ950/2G-5.08-H-GREEN;Battery;PTR STLZ950/2G-5.08-H-GREEN;PTR STLZ950/2G-5.08-H-GREEN Battery
1;J3;Pin Header 2.54mm 2x10 90° ⌀1.0mm;SWD;Pin Header 2.54mm 2x10 90° ⌀1.0mm;Pin Header 2.54mm 2x10 90° ⌀1.0mm SWD
1;J4;Pin Header 2.54mm 2x5 90° ⌀1.0mm;Ext.;Pin Header 2.54mm 2x5 90° ⌀1.0mm;Pin Header 2.54mm 2x5 90° ⌀1.0mm Ext.
1;L1;Würth 7447075;1mH Würth 7447075;Würth 7447075;1mH Würth 7447075
1;L2;0603 Ferrite Bead;;RESC1608 (0603);0603 Ferrite Bead 
1;L3;DR127-680;68μH;Eaton DR127;DR127-680 68μH
1;LED1;OSRAM LY R976-PS-36;OSRAM LY R976-PS-36 Yellow;OSRAM CHIPLED 0805 Diffused;OSRAM LY R976-PS-36 Yellow
1;LED2;OSRAM LG R971-KN-1;OSRAM LG R971-KN-1 Green;OSRAM CHIPLED 0805 Diffused;OSRAM LG R971-KN-1 Green
1;LED3;OSRAM LS R976-NR-1;OSRAM LS R976-NR-1 Red;OSRAM CHIPLED 0805 Diffused;OSRAM LS R976-NR-1 Red
1;LOGO1;LibrePCB Logo;Made With LibrePCB;LibrePCB Logo;LibrePCB Logo Made With LibrePCB
2;Q1, Q2;IXFP26N30X3;IXFP26N30X3;TO220AB;IXFP26N30X3
1;Q4;Toshiba SSM3J338R;Toshiba SSM3J338R;SOT23-3;Toshiba SSM3J338R
1;R1;Resistor 1608 (0603);4.7kΩ;RESC1608 (0603);Resistor 1608 (0603) 4.7kΩ
1;R10;Resistor 1608 (0603);220Ω;RESC1608 (0603);Resistor 1608 (0603) 220Ω
2;R11, R15;Resistor 1608 (0603);270Ω;RESC1608 (0603);Resistor 1608 (0603) 270Ω
2;R12, R17;Resistor 1608 (0603);453kΩ;RESC1608 (0603);Resistor 1608 (0603) 453kΩ
1;R13;Resistor 1608 (0603);49.9kΩ;RESC1608 (0603);Resistor 1608 (0603) 49.9kΩ
2;R14, R16;Resistor 1608 (0603);100kΩ;RESC1608 (0603);Resistor 1608 (0603) 100kΩ
2;R18, R19;Resistor 1608 (0603);1kΩ;RESC1608 (0603);Resistor 1608 (0603) 1kΩ
1;R2;Resistor 1608 (0603);56Ω;RESC1608 (0603);Resistor 1608 (0603) 56Ω
1;R20;PT 10 LV;100kΩ;PT10LV;PT 10 LV 100kΩ
1;R21;Resistor 1608 (0603);100kΩ 0.1%;RESC1608 (0603);Resistor 1608 (0603) 100kΩ 0.1%
3;R3, R4, R6;Resistor 3216 (1206);100kΩ 0.1%;RESC3216 (1206);Resistor 3216 (1206) 100kΩ 0.1%
1;R5;Resistor 1608 (0603);10kΩ 0.1%;RESC1608 (0603);Resistor 1608 (0603) 10kΩ 0.1%
1;R7;Resistor 1608 (0603);2.2kΩ 0.1%;RESC1608 (0603);Resistor 1608 (0603) 2.2kΩ 0.1%
1;R8;Isabellenhütte SMT;0.1Ω 5W;Isabellenhütte SMT 2817;Isabellenhütte SMT 0.1Ω 5W
1;R9;Resistor 1608 (0603);10kΩ;RESC1608 (0603);Resistor 1608 (0603) 10kΩ
2;S1, S2;TE FSMCDA;TE FSMCDA;TE FSMCDA;TE FSMCDA
1;U1;AP7370-33W5;AP7370-33W5;SOT95P280X145-5;AP7370-33W5
1;U2;LTC4359xS8;LTC4359xS8;SOIC127P600X175-8;LTC4359xS8
1;U3;EA DOGS104-A;EA DOGS104-A;EA DOGS104-A;EA DOGS104-A
1;U4;IRS25752L;IRS25752L;SOT95P280X145-6;IRS25752L
1;U5;LM5164-Q1;LM5164-Q1;SOIC127P600X175-8 2.4x3.1 PAD;LM5164-Q1
1;U6;STM32L071KxTx;STM32L071KxTx;LQFP80P900X900X140-32;STM32L071KxTx
