Quantity;Designators;Value;Device;Package;MPN
4;C1, C2, C3, C4;LLS2E221MELZ 220μF/250V;Elko 22/10mm;Elko 22/10mm;LLS2E221MELZ
2;C5, C21;10nF;C-0603;C-0603;C0603C103K1RACTU
2;C6, C30;2.2μF 25V;C-0805;C-0805;1500805B225K250N3
5;C7, C8, C9, C17, C18;220nF;C-0603;C-0603;
2;C10, C11;MKS4F044706B00KSSD 4.7μF/250V;MKS4F044706B00KSSD;Capacitor 11x21x31.5 PCM 27.5 Red;MKS4F044706B00KSSD
1;C12;2.2nF;C-0603;C-0603;
2;C13, C22;1μF;C-0603;C-0603;
5;C14, C19, C23, C28, C33;100nF;C-0603;C-0603;
1;C15;2.2μF 100V;C-1210;C-1210;CL32B225KCJSNNE
1;C16;56pF;C-0603;C-0603;
1;C20;10μF;C-0805;C-0805;CL21B106KPQNNNE
2;C24, C25;47nF 250V;C-1812;C-1812;C1812C473KBRAC7800
1;C26;22μF 25V;C-1210;C-1210;CL32B226KAJNFNE
1;C27;3.3nF;C-0603;C-0603;C0603C332K1RACTU
1;C29;dnm;C-0805;C-0805;
1;D1;MBR40250G;MBR40250G;TO220-2;MBR40250G
1;D2;5KP150A-E3/54 150V;P600;P600;5KP150A-E3/54
1;D3;5KP60A-E3/54 35V;P600;P600;5KP60A-E3/54
1;D4;BAS21;BAS21;SOT23-3;BAS21
1;D5;BAT64-04;BAT64-04;SOT23-3;BAT64-04
2;F1, F2;4AT;Fuse Holder 5mm;Fuse Holder 5mm;0031.8201
1;J1;Generator;PTR STLZ950/3G-5.08-H-GREEN;PTR STLZ950/3G-5.08-H-GREEN;STLZ950/3
1;J2;Battery;PTR STLZ950/2G-5.08-H-GREEN;PTR STLZ950/2G-5.08-H-GREEN;STLZ950/2
1;J3;SWD;Pin Header 2.54mm 2x10 90° ⌀1.0mm;Pin Header 2.54mm 2x10 90° ⌀1.0mm;
1;J5;N8;Generic Pin Header 2.54mm 1x01 ⌀1.0mm;Pin Header 2.54mm 1x01 ⌀1.0mm;
1;J6;PWM;Generic Pin Header 2.54mm 1x01 ⌀1.0mm;Pin Header 2.54mm 1x01 ⌀1.0mm;
1;J7;VDC;Generic Pin Header 2.54mm 1x01 ⌀1.0mm;Pin Header 2.54mm 1x01 ⌀1.0mm;
1;J8;VGEN;Generic Pin Header 2.54mm 1x01 ⌀1.0mm;Pin Header 2.54mm 1x01 ⌀1.0mm;
1;J9;VBAT;Generic Pin Header 2.54mm 1x01 ⌀1.0mm;Pin Header 2.54mm 1x01 ⌀1.0mm;
1;J10;12V;Generic Pin Header 2.54mm 1x01 ⌀1.0mm;Pin Header 2.54mm 1x01 ⌀1.0mm;
1;J11;3V3;Generic Pin Header 2.54mm 1x01 ⌀1.0mm;Pin Header 2.54mm 1x01 ⌀1.0mm;
1;J12;GND;Generic Pin Header 2.54mm 1x01 ⌀1.0mm;Pin Header 2.54mm 1x01 ⌀1.0mm;
1;J13;GATE;Generic Pin Header 2.54mm 1x01 ⌀1.0mm;Pin Header 2.54mm 1x01 ⌀1.0mm;
1;L1;1mH Würth 7447075;Würth 7447075;Würth 7447075;7447075
1;L2;;0603 Ferrite Bead;RESC1608 (0603);
1;L3;68μH;DR127-680;Eaton DR127;DR127-680-R
1;LED1;LED 3mm Green;LED 3mm;LED 3mm;
1;LED2;LED 3mm Yellow;LED 3mm;LED 3mm;
1;LED3;LED 3mm Blue;LED 3mm;LED 3mm;
2;LOGO1, LOGO2;Made With LibrePCB;LibrePCB Logo;LibrePCB Logo;
2;Q1, Q2;IXFP26N30X3;IXFP26N30X3;TO220AB;IXFP26N30X3
2;Q3, Q4;SSM3J338R.LF;Toshiba SSM3J338R;SOT23-3;SSM3J338R.LF
1;R1;4.7kΩ;Resistor 1608 (0603);RESC1608 (0603);
1;R2;56Ω;Resistor 1608 (0603);RESC1608 (0603);
3;R3, R4, R6;100kΩ 0.1%;Resistor 3216 (1206);RESC3216 (1206);TNPW1206100KBEEA
1;R5;10kΩ 0.1%;Resistor 1608 (0603);RESC1608 (0603);RNCF0603BTE10K0
1;R7;2.2kΩ 0.1%;Resistor 1608 (0603);RESC1608 (0603);ERA-3AEB222V
1;R8;0.1Ω 5W;Isabellenhütte SMT;Isabellenhütte SMT 2817;SMT-R100-1.0
1;R9;10kΩ;Resistor 1608 (0603);RESC1608 (0603);RNCF0603BTE10K0
3;R10, R11, R15;680Ω;Resistor 1608 (0603);RESC1608 (0603);
2;R12, R17;453kΩ;Resistor 1608 (0603);RESC1608 (0603);MCR03ERTF4533
1;R13;49.9kΩ;Resistor 1608 (0603);RESC1608 (0603);
3;R14, R16, R21;100kΩ;Resistor 1608 (0603);RESC1608 (0603);
1;R18;20kΩ;PT 10 LV;PT10LV;PT10LV10-223A2020-PM-S
1;R19;27Ω;Resistor 1608 (0603);RESC1608 (0603);
1;R20;100kΩ;PT 10 LV;PT10LV;
1;R22;100kΩ;Resistor 3216 (1206);RESC3216 (1206);TNPW1206100KBEEA
2;S1, S2;3-1825910-1;TE FSMCDA;TE FSMCDA;3-1825910-1
1;U1;AP7370-33W5-7;AP7370-33W5;SOT95P280X145-5;AP7370-33W5-7
1;U2;LTC4359IS#PBF8;LTC4359xS8;SOIC127P600X175-8;LTC4359IS#PBF8
1;U4;IRS25752LTRPBF;IRS25752L;SOT95P280X145-6;IRS25752LTRPBF
1;U5;LM5164DDAT;LM5164-Q1;SOIC127P600X175-8 2.4x3.1 PAD;LM5164DDAT
1;U6;STM32L071KZT6;STM32L071KxTx;LQFP80P900X900X140-32;STM32L071KZT6
